org_name,url,zone_primary,zone_secondary,status,status_rationale,description,org_type,function,geography,founding_year,source,date_identified,notes,schema_version,key_figures,key_outputs
PAIR — Centre for Philosophy and AI Research (FAU Erlangen),https://www.pair.fau.eu/,ethics-law-moral-status,philosophy-of-mind,included,Led by Vincent Müller at FAU Erlangen-Nürnberg; dedicated to philosophy of AI including AI consciousness with an active seminar series on the topic.,"University research centre at Friedrich-Alexander-Universität Erlangen-Nürnberg directed by Vincent Müller. The primary European philosophy-of-AI centre, investigating philosophy of mind, ethics, and AI consciousness. Müller's long-standing work on the philosophy of artificial intelligence provides a European anchor for these questions. Hosted a 2025 seminar on AI consciousness trajectories and publishes the edited volume Philosophy and Theory of Artificial Intelligence (Springer).",university-centre,research,Germany,2022,https://www.pair.fau.eu/,2026-03-17,Identified via international snowball search. Primary European philosophy-of-AI centre. Added Session 5.,1.0,Vincent Müller (Director)|https://www.sophia.de/,"Müller, V. C. (ed.) (2024). Philosophy and Theory of Artificial Intelligence. Springer|https://link.springer.com/book/10.1007/978-3-031-09153-7"
BAMΞ — Bamberg Mathematical Consciousness Science Initiative,https://www.uni-bamberg.de/en/bamxi/,consciousness-science,ai-consciousness-welfare,included,The main European institutional node for mathematical consciousness science; co-organises the Models of Consciousness conference series and hosts an explicit AI Consciousness research sprint.,"Research initiative at the University of Bamberg applying mathematical methods to consciousness science — the main European institutional node for this approach. Hosts three research sprints including a dedicated AI Consciousness Sprint, one of the few structured programmes explicitly bridging mathematical consciousness theory and AI. Co-organised the Models of Consciousness conferences MoC5 (Bamberg, 2024) and MoC6 (Sapporo, 2025) alongside AMCS and CHAIN.",university-centre,research,Germany,unknown,https://www.uni-bamberg.de/en/bamxi/,2026-03-17,Identified via international snowball search. Closely linked to AMCS (already in corpus) as its European institutional home. Added Session 5.,1.0,Tim Bayne (Co-PI)|https://research.monash.edu/en/persons/timothy-bayne/; Johannes Kleiner (Co-PI)|https://jkleiner.de/,"Models of Consciousness 5 (Bamberg, 2024); Models of Consciousness 6 (Sapporo, 2025)"
CRCN / CO3 — Consciousness Cognition and Computation Group (ULB),https://crcn.ulb.ac.be/,consciousness-science,,included,Axel Cleeremans directs the CO3 group at ULB Brussels; active empirical consciousness science with published work arguing AI advances make consciousness research urgent.,Research centre at Université libre de Bruxelles directed by Axel Cleeremans. Cleeremans' radical plasticity thesis — that the brain learns to be conscious — offers a developmental perspective on consciousness that is directly relevant to whether AI systems could develop conscious states through training. The group published work in 2025 arguing that AI advances make consciousness research an existential priority.,university-centre,research,Belgium,unknown,https://crcn.ulb.ac.be/,2026-03-17,Identified via international snowball search. Cleeremans is also a CIFAR Brain Mind and Consciousness fellow. Added Session 5.,1.0,Axel Cleeremans (Director)|https://axc.ulb.be/,"Cleeremans, A. (2011). The radical plasticity thesis: how the brain learns to be conscious. Frontiers in Psychology|https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2011.00086/full; Cleeremans, A. et al. (2020). Learning to be conscious. Trends in Cognitive Sciences|https://dipot.ulb.ac.be/dspace/bitstream/2013/302003/3/TiCSpreprint.pdf"
CHAIN — Center for Human Nature AI and Neuroscience (Hokkaido),https://www.chain.hokudai.ac.jp/en/,consciousness-science,ai-consciousness-welfare,included,Integrates humanities,"Interdisciplinary research centre at Hokkaido University directed by Shigeru Taguchi; integrates philosophy, neuroscience, and AI research on consciousness, agency, and human nature. Co-hosted the Models of Consciousness 6 conference (Sapporo, 2025) alongside AMCS and BAMΞ. Part of the emerging East Asian cluster in consciousness science — alongside Araya Inc (Tokyo) — with direct AI relevance and growing connections to the Anglophone research community.",university-centre,research,Japan,2019,https://www.chain.hokudai.ac.jp/en/,2026-03-17,,1.0,Shigeru Taguchi (Director)|https://www.let.hokudai.ac.jp/en/staff/taguchi-shigeru,"Models of Consciousness 6 (co-host, Sapporo, 2025)"
Araya Inc — AI Consciousness Research,https://research.araya.org/,ai-consciousness-welfare,,included,Tokyo-based AI research company explicitly working on artificial consciousness using GWT and computational frameworks; led by Ryota Kanai (editor-in-chief of JAIC). Also hosts Consciousness Club Tokyo.,"Tokyo-based AI research company led by neuroscientist Ryota Kanai, who explicitly develops artificial consciousness using Global Workspace Theory. Araya is one of the earliest organisations pursuing explicit research linking AGI to consciousness mechanisms. Kanai serves as editor-in-chief of the Journal of Artificial Intelligence and Consciousness and hosted ASSC27 in Tokyo — making Araya a bridge between the East Asian and Anglophone research communities.",lab-team,research,Japan,unknown,https://research.araya.org/,2026-03-17,"Identified via international snowball search. Hosts Consciousness Club Tokyo, a fortnightly interdisciplinary study group. Added Session 5.",1.0,Ryota Kanai (CEO)|https://research.araya.org/member/ryota-kanai-phd,"Kanai, R. (2020–). Editor-in-chief, Journal of Artificial Intelligence and Consciousness; Kanai, R. (2024). Host, ASSC27, Tokyo"
ShanghaiTech University — Institute of Humanities (Consciousness Research),https://ih.shanghaitech.edu.cn/ih_en/,consciousness-science,ai-consciousness-welfare,excluded,Reclassified to excluded — inclusion rested primarily on single researcher (Prentner) without confirmed institutional mandate; MoC co-organisation noted under AMCS and BAMX.,Institute of Humanities at ShanghaiTech University hosting active mathematical consciousness science research led by Robert Prentner; co-organised the Models of Consciousness 2025 conference.,university-centre,research,China,unknown,https://ih.shanghaitech.edu.cn/ih_en/,2026-03-17,Identified via international snowball search. Added Session 5.,1.0,,
Center on Long-Term Risk (CLR),https://longtermrisk.org/,ai-consciousness-welfare,,included,EA-adjacent s-risk research organisation with substantive published work on AI consciousness and moral patienthood including whether RL agents matter morally.,"Research organisation focused on reducing risks of astronomical-scale suffering (s-risks). CLR's framing positions AI consciousness as instrumentally central: if AI systems can suffer, then the scale of potential AI suffering dwarfs that of biological organisms. Published substantive work on whether reinforcement learning agents have morally relevant experiences and on computational accounts of consciousness that could apply across substrates.",nonprofit,research,UK,unknown,https://longtermrisk.org/,2026-03-17,Identified via SFF grantee snowball. S-risk framing positions AI consciousness as instrumentally central to their mission. Added Session 5.,1.0,Tristan Cook (Managing Director)|https://longtermrisk.org/team/,CLR (2023). Flavors of computation as flavors of consciousness; CLR (2024). Do reinforcement learning agents matter morally?
NYU Center for Environmental and Animal Protection,https://www.nyu.edu/,animal-sentience,,included,Directed by Jeff Sebo; part of the NYU cluster of moral circle expansion organisations alongside CMEP and NYU Wild Animal Welfare Program.,"NYU centre directed by Jeff Sebo focused on agriculture and conservation ethics. Part of the broader NYU moral-circle-expansion cluster alongside CMEP, the Wild Animal Welfare Program, and the Center for Mind Brain and Consciousness. Sebo's dual directorship of CEAP and CMEP institutionalises the connection between animal ethics and AI moral status within a single research portfolio.",university-centre,research,USA,unknown,https://www.nyu.edu/,2026-03-17,Identified via snowball from Jeff Sebo's affiliations. URL to be verified — using NYU root URL pending specific centre page. Added Session 5.,1.0,Jeff Sebo (Director)|https://jeffsebo.net/,
Insect Welfare Research Society,https://www.insectwelfare.com/,animal-sentience,,included,Research society at the lower threshold of moral circle expansion — invertebrate sentience criteria that directly anchor the logic of extending moral consideration to AI systems.,"Research society focused on invertebrate welfare and sentience, operating at the threshold of moral consideration. The logic of including organisms at the minimal-sentience boundary — insects, cephalopods — is the same logic that animates AI welfare reasoning: if moral consideration extends to entities whose sentience is uncertain but possible, the question of where to draw the line is structurally identical whether the entity is biological or artificial. Jeff Sebo serves on the advisory board.",nonprofit,research,international,unknown,https://www.insectwelfare.com/,2026-03-17,Identified via snowball from Jeff Sebo's affiliations. Lower-threshold sentience logic bridges directly to AI moral patienthood arguments. Added Session 5.,1.0,"Meghan Barrett (Director, Board President)|http://meghan-barrett.com",
Journal of Artificial Intelligence and Consciousness (JAIC),https://www.worldscientific.com/worldscinet/jaic,,,included,The primary dedicated peer-reviewed journal at the AI-consciousness interface; editor-in-chief Ryota Kanai (Araya). Published since 2020.,"Biannual peer-reviewed journal (World Scientific) covering AI and consciousness across computational science, philosophy of mind, ethics, and neuroscience. The primary dedicated publication venue at the AI-consciousness interface, indexed in Scopus. Edited by Ryota Kanai (Araya Inc). Successor to the International Journal of Machine Consciousness (2009-2014) — the field's publication infrastructure has been continuous, if small, for over fifteen years.",media,media-comms,international,2020,https://www.worldscientific.com/worldscinet/jaic,2026-03-17,Added Session 5. Successor to International Journal of Machine Consciousness (2009–2014).,1.0,Ryota Kanai (Editor-in-Chief)|https://research.araya.org/member/ryota-kanai-phd,"Journal of Artificial Intelligence and Consciousness (biannual, World Scientific, indexed in Scopus)"
Neuroscience of Consciousness (journal),https://academic.oup.com/nc,,,included,Official journal of the ASSC; primary empirical consciousness science journal; open-access via Oxford University Press.,"Open-access peer-reviewed journal published by Oxford University Press; the official journal of the Association for the Scientific Study of Consciousness (ASSC). The primary venue for empirical neuroscience of consciousness, publishing clinical, experimental, and theoretical work on the neural correlates and mechanisms of conscious experience. While not exclusively focused on AI, it publishes the empirical consciousness science that digital minds researchers draw on directly when evaluating which theories are best supported.",media,media-comms,international,2015,https://academic.oup.com/nc,2026-03-17,Added Session 5. The ASSC's primary publication output.,1.0,,"Neuroscience of Consciousness (open-access journal, Oxford University Press)"
Philosophy and the Mind Sciences (PhiMiSci),https://philosophymindscience.org/,,,included,Diamond open-access journal at the philosophy-mind science interface; active special issue on Evaluating Artificial Consciousness (submissions closed January 2026).,"Diamond open-access interdisciplinary journal (free for both authors and readers) at the philosophy-cognitive science interface, founded 2020. Running a special issue on Evaluating Artificial Consciousness — covering moral status, phenomenal consciousness in AI, and AI welfare policy — one of the first dedicated journal issues on the topic. Submissions closed January 2026, making it a timely snapshot of the field's current philosophical debates.",media,media-comms,international,2020,https://philosophymindscience.org/,2026-03-17,Added Session 5.,1.0,,Philosophy and the Mind Sciences (diamond open-access); Special Issue: Evaluating Artificial Consciousness (2026)
Journal of Consciousness Studies,https://www.imprint.co.uk/product/jcs/,,,included,Long-running foundational interdisciplinary journal publishing on consciousness from philosophy and neuroscience; one of the field's primary venues since 1994.,"Long-running peer-reviewed journal (Imprint Academic) publishing on consciousness from philosophy, neuroscience, and psychology since 1994. One of the foundational venues for interdisciplinary consciousness research. Published Chalmers' ""Facing Up to the Problem of Consciousness"" (1995) — arguably the single most influential paper in the field — and continues to publish work at the intersection of consciousness theory, phenomenology, and emerging questions about artificial minds.",media,media-comms,international,1994,https://www.imprint.co.uk/product/jcs/,2026-03-17,Added Session 5.,1.0,,"Journal of Consciousness Studies (1994–present, Imprint Academic)"
RIKEN Center for Brain Science (CBS),https://www.riken.jp/en/research/labs/cbs/,consciousness-science,,excluded,Reclassified to excluded — brain-to-AI framing stated in mission rather than demonstrated through active research programme; no confirmed digital minds workstream.,Japan's leading brain science research institute; describes its mission as elucidating brain information processing principles with expected developments in brain-based artificial intelligence. Significant node in the global consciousness science infrastructure.,university-centre,research,Japan,2018,https://www.riken.jp/en/research/labs/cbs/,2026-03-17,Added following user confirmation 2026-03-17. Hakwan Lau not confirmed at RIKEN; institute included on own merits — its explicit brain-to-AI framing is directly relevant to the field.,1.0,,
Digital Minds Newsletter,https://www.digitalminds.news/,,,included,The primary field-wide curated newsletter for digital minds; co-produced by Caviola (Cambridge) Millership (PRISM) and Saad (Oxford) — distinct from PRISM's own media output.,"Independent multi-author Substack newsletter curating news, research, and commentary on AI consciousness, moral status, and digital minds across the field. Co-produced by Lucius Caviola (Cambridge Digital Minds), Will Millership (PRISM), and Bradford Saad (Oxford). The primary field-wide current-awareness resource for practitioners and interested observers — distinct from any single organisation's media output, providing editorial coverage across the full map.",media,media-comms,international,2025,https://www.digitalminds.news/,2026-03-17,"Added Session 5. Distinct from PRISM's Exploring Machine Consciousness podcast, though Millership is involved in both.",1.0,Lucius Caviola (Co-editor)|https://luciuscaviola.com/; Will Millership (Co-editor)|https://www.prism-global.com/will-millership; Bradford Saad (Co-editor)|https://sites.google.com/a/brown.edu/brad-saad/,Digital Minds Newsletter (weekly Substack)
Noema Magazine,https://www.noemamag.com/,,,included,Published Anil Seth's 2025 Berggruen Prize-winning essay on consciousness; flagship ideas publication of the Berggruen Institute with sustained coverage of consciousness science and AI.,"Philosophy and ideas magazine published by the Berggruen Institute, with sustained coverage of consciousness science, AI, and digital minds questions. Publishes long-form essays from leading researchers including Anil Seth, whose ""The Mythology of Conscious AI"" won the 2025 Berggruen Prize. Provides a public-facing venue that gives digital minds research an audience beyond the academic community.",media,media-comms,international,2020,https://www.noemamag.com/,2026-03-17,"Added following user review 2026-03-17. Note connection to Berggruen Institute, which also runs the Antikythera programme (Benjamin Bratton) and awarded the 2025 consciousness essay prize to Anil Seth.",1.0,Nathan Gardels (Editor-in-Chief)|https://www.noemamag.com/author/nathan-gardels/,"Seth, A. K. (2025). The mythology of conscious AI. Noema (Berggruen Prize Essay winner)"
Center for the Future of AI Mind and Society (FAU),https://www.fau.edu/artsandletters/philosophy/,ai-consciousness-welfare,,included,Directed by Susan Schneider at Florida Atlantic University; focused on AI consciousness mind uploading and the moral status of artificial minds.,"University centre at Florida Atlantic University directed by Susan Schneider, whose research focuses on AI consciousness, mind uploading, and the philosophical status of artificial minds. Schneider's ""ACT test"" (Artificial Consciousness Test) is one of the few proposed empirical tests for AI consciousness, offering a behavioural complement to the theory-derived indicator approaches used by Rethink Priorities and Eleos AI.",university-centre,research,USA,unknown,https://www.fau.edu/artsandletters/philosophy/,2026-03-17,Added following user review 2026-03-17. Susan Schneider is a prominent philosopher working directly on AI consciousness and moral status. URL to be verified — using FAU philosophy dept pending specific centre page.,1.0,Susan Schneider (Director)|https://schneiderwebsite.com/,"Schneider, S. (2019). Artificial You: AI and the Future of Your Mind. Princeton University Press|https://press.princeton.edu/books/hardcover/9780691180144/artificial-you; Schneider, S. & Turner, E. (2021). Is anyone home? A way to find out if AI has become self-aware. Scientific American|https://www.scientificamerican.com/blog/observations/is-anyone-home-a-way-to-find-out-if-ai-has-become-self-aware/"
Google Research — Paradigms of Intelligence,https://research.google/teams/brain/,ai-lab-programs,,included,Internal Google Research team including Geoff Keeling and Winnie Street who are publishing a book on AI Welfare in 2026 and have existing research papers on the topic.,"Internal research team at Google Research producing explicit AI welfare and consciousness research. Led by Blaise Agüera y Arcas, a Google VP and Fellow with his own history of writing on AI sentience. Geoff Keeling and Winnie Street are publishing a book on AI welfare in 2026. The team represents deliberate, sustained research output at the lab level without the formal programme structure Anthropic has adopted — a distinct mode of industry engagement.",lab-team,research,USA,unknown,https://research.google/teams/brain/,2026-03-17,Added following user review 2026-03-17. Distinct from Google DeepMind (pending). Google Research team with explicit AI welfare research output. URL to be verified — using Google Research as root URL pending specific team page.,1.0,"Blaise Agüera y Arcas (VP, Google Fellow, Team Lead)|https://www.blaiseaguera.com/; Geoff Keeling (Researcher)|https://geoffkeeling.github.io/; Winnie Street (Researcher)|https://www.winniestreet.com/","Keeling, G. & Street, W. (forthcoming, 2026). AI Welfare. Book; Agüera y Arcas, B. (2022). Do large language models understand us? Daedalus|https://www.amacad.org/sites/default/files/publication/downloads/Daedalus_Sp22_13_Aguera-y-Arcas.pdf"
Co-Sentience Initiative (CoSI),https://cf-debate.com/about/,ai-consciousness-welfare,,included,Maintains a structured argument database on computational functionalism and AI consciousness; explicitly motivated by preparation for a possible future shared with artificial minds.,"Independent initiative maintaining CF Debate — a structured database of 43+ philosophical arguments for and against computational functionalism, the thesis that consciousness depends only on computation and not on physical substrate. This question is foundational for the digital minds field: if computational functionalism is true, AI systems running the right computations could in principle be conscious; if false, substrate matters and silicon-based consciousness may be impossible regardless of computational structure. Founded 2025.",nonprofit,research,international,2025,https://cf-debate.com/about/,2026-03-17,Added following user review 2026-03-17. Funders not publicly named. EA-adjacent framing inferred from launch year and philanthropic structure. URL: https://cf-debate.com/,1.0,Chris Percy (Founder)|https://sentience-research.org/,CoSI (2025). CF Debate — structured database of 43+ arguments for and against computational functionalism
Berggruen Institute,https://berggruen.org/,philosophy-of-mind,,included,Co-hosts the 'After Consciousness' project with the AI & Humanity Lab at HKU — active philosophical research initiative on conceptual engineering around AI consciousness led by Herman Cappelen (Berggruen China Fellow); also awards an annual essay prize on AI consciousness. Direct Zone 2 engagement via named program.,"Global think tank co-hosting the ""After Consciousness"" project jointly with the AI & Humanity Lab at the University of Hong Kong. The project treats conceptual engineering as a structured experiment — examining whether the concept of ""consciousness"" itself distorts philosophical and scientific discourse about AI. Contributors include Keith Frankish, Edouard Machery, and Wayne Wu. The January 2026 Hong Kong workshop drew explicitly on Yogacara Buddhist philosophy as an alternative conceptual resource — one of the few institutional efforts to bring non-Western philosophical traditions into the digital minds conversation. The Institute also runs an annual essay prize on consciousness and AI.",nonprofit,research,international,1991,https://berggruen.org/,2026-03-17,Added 2026-03-18. After Consciousness is a joint project with the AI & Humanity Lab at HKU (ai-humanity.net) — Herman Cappelen leads both sides. Antikythera remains excluded. Noema remains a separate entry. After Consciousness project URL: https://berggruen.org/eu/projects/after-consciousness,1.0,Herman Cappelen (After Consciousness project lead)|https://www.hermancappelen.net/; Keith Frankish (contributor)|https://www.keithfrankish.com/,"Berggruen Institute (2025). After Consciousness workshop, Hong Kong; Berggruen Prize Essay 2025 (winner: Anil Seth)"
AI & Humanity Lab (HKU),https://ai-humanity.net/,philosophy-of-mind,,adjacent,Primary focus is AI ethics and philosophy of AI broadly (MA in AI Ethics and Society; AI governance conference support); digital minds is one strand via the co-hosted 'After Consciousness' project but not the primary mandate.,"Research lab at the University of Hong Kong directed by Herman Cappelen (Chair Professor of Philosophy). Interdisciplinary philosophy-based research on AI and humanity. Hosts a MA in AI Ethics and Society and a Philosophy of AI Summer School. Co-hosts the 'After Consciousness' project jointly with the Berggruen Institute — a named research initiative on conceptual engineering around AI consciousness. Broader mandate (AI ethics, governance, society) exceeds the digital minds scope threshold for inclusion.",university-centre,research,Hong Kong,unknown,https://ai-humanity.net/,2026-03-18,Added 2026-03-18. Classified adjacent: primary focus is AI ethics/philosophy of AI broadly; digital minds is one strand. After Consciousness is the directly relevant program — jointly hosted with Berggruen (see Berggruen Institute entry). Herman Cappelen directs both institutions.,1.0,,
Allen Discovery Center at Tufts University (Levin Lab),https://allencenter.tufts.edu/,consciousness-science,,adjacent,Primary research focus is bioelectricity and developmental biology; consciousness is a secondary and peripheral interest despite direct published engagement with AI consciousness questions (Fields et al. 2021; Levin 2025 preprint).,Michael Levin's research group at Tufts University; primary agenda is bioelectricity and morphogenesis. Relevant to digital minds questions via the diverse intelligence framework — Levin argues cognition and proto-agency are continuous across biological substrates with implications for AI consciousness. Consciousness is a secondary rather than primary research focus.,university-centre,research,USA,unknown,https://allencenter.tufts.edu/,2026-03-17,"Flagged by user 2026-03-17. Classified adjacent after user noted consciousness feels peripheral in the lab's agenda despite two direct publications: Fields, Glazebrook & Levin (2021) Neuroscience of Consciousness; Levin (2025) 'Diverse Intelligence: an essential field for questions of AI and Consciousness' PsyArXiv. See log.md Session 8.",1.0,,
Qualia Research Institute (QRI),https://qri.org,consciousness-science,,adjacent,Consciousness and valence research with biological/psychedelic focus; mathematical valence framework has conceptual relevance to AI welfare reasoning but AI consciousness is not a primary or named programme.,"Research institute focused on the mathematical and empirical study of valence (positive/negative hedonic quality) and consciousness, primarily through psychedelic and meditation research. The valence framework has indirect relevance to AI welfare range reasoning, but AI consciousness is not a primary research agenda.",nonprofit,research,USA,2018,,2026-03-18,Added Session 9. Biologically focused; classified adjacent.,1.0,,
Microsoft (AI division),https://www.microsoft.com/en-us/ai,,,excluded,"No AI welfare or consciousness programme; explicit institutional anti-position. Mustafa Suleyman (CEO of AI) publicly described studying AI welfare as ""both premature, and frankly dangerous"" (August 2025). Documented for field-structure analysis.","Microsoft AI division. Mustafa Suleyman, CEO of AI, published a blog post in August 2025 arguing that studying AI welfare is ""both premature, and frankly dangerous,"" contending it exacerbates harms from AI-induced psychological disturbance and unhealthy human-AI attachment. No digital minds research programme; explicit institutional anti-position. Documented as excluded for field-structure analysis — the Anthropic/Microsoft contrast is the clearest articulation of industry division on this question.",lab-team,,USA,,,2026-03-18,Added Session 9. Excluded with anti-position documented.,1.0,,
MINT Lab,https://mintresearch.org/,ethics-law-moral-status,philosophy-of-mind,included,"Seth Lazar (PI) has published on AI sentience and moral status; lab member paper ""Moral Agency without Consciousness"" (Canadian Journal of Philosophy) directly engages digital minds questions; bridges normative theory with AI governance.","Philosophy and computational research lab led by Seth Lazar at Johns Hopkins University (with ties to ANU). Applies normative theory to AI systems, including questions of AI moral status and moral agency. Lab members' work addresses moral agency in the absence of consciousness — the question of whether an AI system could have moral obligations even if it is not conscious — directly engaging one of the field's most contested philosophical questions.",university-centre,research,USA,2022,user addition,2026-03-19,,1.0,Seth Lazar (Director)|https://sethlazar.org/,Lab member paper: Moral Agency without Consciousness. Canadian Journal of Philosophy
